	lvl_1	lvl_2	lvl_3	lvl_4	lvl_5	lvl_6	lvl_7	lvl_8	lvl_9	lvl_10	lvl_11	lvl_12	lvl_13	lvl_14	lvl_15	lvl_16
-0.28201	-176.4734106	-176.3639636	-176.2548589	-176.1462507	-176.0383983	-175.9317773	-175.8273478	-175.7273273	-175.1059587	-175.0059383	-174.901509	-174.7948886	-174.6870366	-174.5784288	-174.4693247	-174.3598783
-0.28101	-176.4711021	-176.3616611	-176.252565	-176.1439693	-176.0361371	-175.92955	-175.8251835	-175.7252989	-175.107987	-175.0081027	-174.9037366	-174.7971496	-174.6893178	-174.5807227	-174.4716273	-174.362187
-0.28001	-176.4687937	-176.3593587	-176.2502715	-176.1416885	-176.0338764	-175.9273234	-175.8230212	-175.7232748	-175.1100111	-175.010265	-174.9059631	-174.7994103	-174.6915988	-174.5830164	-174.4739297	-174.3644955
-0.27901	-176.4664852	-176.3570565	-176.247978	-176.139408	-176.0316163	-175.925098	-175.8208606	-175.7212553	-175.1120306	-175.0124254	-174.9081885	-174.8016706	-174.6938792	-174.5853098	-174.4762319	-174.3668039
-0.27801	-176.4641769	-176.3547544	-176.2456846	-176.1371278	-176.0293567	-175.9228733	-175.818702	-175.7192402	-175.1140459	-175.014584	-174.9104131	-174.8039301	-174.6961593	-174.5876032	-174.478534	-174.369112
-0.27701	-176.4618687	-176.3524525	-176.2433915	-176.1348479	-176.0270977	-175.9206498	-175.8165454	-175.7172297	-175.1160564	-175.0167408	-174.9126367	-174.8061891	-174.6984392	-174.5898961	-174.4808359	-174.3714202
-0.27601	-176.4595608	-176.3501507	-176.2410988	-176.1325685	-176.0248392	-175.9184272	-175.8143908	-175.7152238	-175.1180622	-175.0188953	-174.9148592	-174.8084476	-174.7007187	-174.592189	-174.4831377	-174.3737282
-0.27501	-176.4572528	-176.3478491	-176.2388063	-176.1302894	-176.0225814	-175.9162056	-175.8122382	-175.7132226	-175.1200631	-175.0210479	-174.9170808	-174.8107054	-174.7029978	-174.5944816	-174.4854392	-174.3760363
-0.27401	-176.454945	-176.3455476	-176.2365139	-176.1280106	-176.0203241	-175.9139849	-175.8100877	-175.7112265	-175.1220593	-175.0231984	-174.9193014	-174.8129627	-174.7052767	-174.596774	-174.4877406	-174.378344
-0.27301	-176.4526373	-176.3432463	-176.2342216	-176.1257322	-176.0180673	-175.9117656	-175.8079393	-175.7092355	-175.1240504	-175.025347	-174.9215209	-174.8152195	-174.707555	-174.599066	-174.490042	-174.3806517
-0.27201	-176.4503296	-176.3409453	-176.2319298	-176.123454	-176.0158111	-175.9095472	-175.8057929	-175.7072494	-175.1260366	-175.0274932	-174.9237392	-174.8174756	-174.7098332	-174.6013578	-174.492343	-174.3829592
-0.27101	-176.448022	-176.3386442	-176.2296382	-176.1211762	-176.0135556	-175.9073297	-175.8036487	-175.7052685	-175.1280174	-175.0296373	-174.9259567	-174.8197312	-174.7121108	-174.6036495	-174.4946439	-174.3852668
-0.27001	-176.4457149	-176.3363435	-176.2273467	-176.1188989	-176.0113006	-175.9051133	-175.8015069	-175.7032929	-175.129993	-175.0317792	-174.9281731	-174.8219861	-174.7143881	-174.6059409	-174.4969448	-174.3875742
-0.26901	-176.4434076	-176.3340429	-176.2250555	-176.1166221	-176.0090464	-175.9028981	-175.7993671	-175.7013229	-175.131963	-175.033919	-174.9303883	-174.8242405	-174.7166652	-174.6082322	-174.4992455	-174.3898813
-0.26801	-176.4411003	-176.3317423	-176.2227646	-176.1143454	-176.0067925	-175.9006841	-175.7972296	-175.6993581	-175.1339276	-175.0360565	-174.9326023	-174.8264941	-174.7189419	-174.610523	-174.5015459	-174.3921885
-0.26701	-176.4387933	-176.3294419	-176.2204739	-176.1120691	-176.0045395	-175.8984711	-175.7950946	-175.6973992	-175.1358865	-175.0381915	-174.9348153	-174.8287472	-174.7212181	-174.6128138	-174.5038462	-174.3944955
-0.26601	-176.4364866	-176.3271418	-176.2181835	-176.1097932	-176.002287	-175.8962592	-175.7929617	-175.6954461	-175.1378399	-175.0403242	-174.9370272	-174.8309998	-174.7234938	-174.6151041	-174.5061464	-174.3968024
-0.26501	-176.4341798	-176.324842	-176.2158932	-176.1075178	-176.0000352	-175.8940484	-175.7908314	-175.6934988	-175.1397872	-175.0424547	-174.9392378	-174.8332516	-174.7257694	-174.6173944	-174.5084463	-174.3991091
-0.26401	-176.431873	-176.3225421	-176.2136032	-176.1052427	-175.9977838	-175.8918389	-175.7887035	-175.6915573	-175.1417284	-175.0445827	-174.9414473	-174.8355028	-174.7280444	-174.6196844	-174.5107461	-174.4014157
-0.26301	-176.4295666	-176.3202424	-176.2113136	-176.102968	-175.9955333	-175.8896306	-175.7865779	-175.6896221	-175.1436636	-175.0467081	-174.9436557	-174.8377534	-174.7303191	-174.621974	-174.5130458	-174.4037223
-0.26201	-176.4272601	-176.317943	-176.2090242	-176.1006936	-175.9932834	-175.8874236	-175.784455	-175.6876932	-175.1455926	-175.048831	-174.9458628	-174.8400032	-174.7325934	-174.6242634	-174.5153452	-174.4060287
-0.26101	-176.4249538	-176.3156437	-176.2067349	-176.0984198	-175.9910341	-175.8852175	-175.7823346	-175.6857708	-175.1475151	-175.0509514	-174.9480688	-174.8422524	-174.7348674	-174.6265526	-174.5176443	-174.408335
-0.26001	-176.4226476	-176.3133445	-176.2044459	-176.0961463	-175.9887856	-175.8830128	-175.7802168	-175.6838548	-175.149431	-175.0530692	-174.9502735	-174.8445011	-174.7371408	-174.6288415	-174.5199435	-174.410641
