lvl_1  k2 k1 k0
H: 0.06099 -2.5357143 2.2890536 -175.8359650
H: 0.06199 -2.5857143 2.2950140 -175.8361426
H: 0.06299 -2.6428571 2.3019157 -175.8363510
H: 0.06399 -2.6928571 2.3080704 -175.8365403
H: 0.06499 -2.7428571 2.3143251 -175.8367359
H: 0.06599 -2.8000000 2.3215640 -175.8369651
H: 0.06699 -2.8714286 2.3307883 -175.8372628
H: 0.06799 -2.9285714 2.3382729 -175.8375078
H: 0.06899 -2.9857143 2.3458660 -175.8377600
H: 0.06999 -3.0642857 2.3564716 -175.8381178
H: 0.07099 -3.1214286 2.3643047 -175.8383862
H: 0.07199 -3.1785714 2.3722464 -175.8386621
H: 0.07299 -3.2357143 2.3802967 -175.8389455
H: 0.07399 -3.3285714 2.3935677 -175.8394196
H: 0.07499 -3.4071429 2.4049647 -175.8398328
H: 0.07599 -3.4642857 2.4133750 -175.8401422
H: 0.07699 -3.5428571 2.4250577 -175.8405764
H: 0.07799 -3.6285714 2.4380103 -175.8410656
H: 0.07899 -3.7071429 2.4500359 -175.8415257
H: 0.07999 -3.7714286 2.4599874 -175.8419107
H: 0.08099 -3.8785714 2.4768067 -175.8425707
H: 0.08199 -3.9571429 2.4893037 -175.8430675
H: 0.08299 -4.0428571 2.5031020 -175.8436228
H: 0.08399 -4.1214286 2.5159019 -175.8441440
H: 0.08499 -4.2285714 2.5335783 -175.8448729
H: 0.08599 -4.3357143 2.5514633 -175.8456192
H: 0.08699 -4.4214286 2.5659644 -175.8462324
H: 0.08799 -4.5071429 2.5806084 -175.8468578
H: 0.08899 -4.6214286 2.6003661 -175.8477116
H: 0.08999 -4.7357143 2.6203810 -175.8485878
H: 0.09099 -4.8428571 2.6393317 -175.8494257
H: 0.09199 -4.9428571 2.6572354 -175.8502269
H: 0.09299 -5.0571428 2.6779189 -175.8511626
H: 0.09399 -5.1714286 2.6988194 -175.8521181
H: 0.09499 -5.3000000 2.7226140 -175.8532188
H: 0.09599 -5.4142857 2.7439774 -175.8542171
H: 0.09699 -5.5357143 2.7669250 -175.8553011
H: 0.09799 -5.6642857 2.7914796 -175.8564733
H: 0.09899 -5.8000000 2.8176640 -175.8577362
